,slide_number_in_experiment,verb,contentNr,content,speakerGender,fact,fact_type,utterance,question,subjectGender,speakerName,subjectName,trigger_class,response,rt,participant
13,15,pretend,11,X happened,M,Danny loves cake,factH,Did Amanda pretend that X happened?,11,F,Paul,Rachel,NonProj,0.19,13531,7
14,16,control,control2,X happened,F,Mary visited her aunt on Sunday,NA,Did Mary's aunt get sick before or after X happened?,control2,NA,Jennifer,NA,control,0.94,16411,7
15,17,control,control1,X happened,F,Zack is a member of the golf club,NA,"Is Zack coming to the meeting tomorrow, even though X happened last night?",control1,NA,Betty,NA,control,1.0,11683,7
16,18,say,19,X happened,F,Jon lives 2 blocks away from work,factH,Did Ruth say that X happened?,19,F,Ashley,Shirley,C,0.18,6961,7
17,19,confess,7,X happened,M,Isabella is a vegetarian,factL,Did Kevin confess that X happened?,7,M,Richard,Alexander,C,0.59,8752,7
18,20,control,control6,X happened,M,Hendrick just bought a car,NA,"Did Hendrick's car get more expensive, now that X happened?",control6,NA,Steven,NA,control,0.98,9244,7
19,21,reveal,16,X happened,F,Josh is a 5-year old boy,factH,Did Sharon reveal that X happened?,16,F,Elizabeth,Carolyn,NonProj,0.85,11770,7
20,22,inform_Sam,18,X happened,F,Julian is Cuban,factH,Did Kathleen inform Sam that X happened?,18,F,Michelle,Angela,C,0.92,9023,7
21,23,suggest,17,X happened,M,Owen lives in New Orleans,factL,Did Cynthia suggest that X happened?,17,F,Steven,Nicole,C,0.39,6255,7
22,24,discover,12,X happened,F,Frank has always wanted a pet,factH,Did Melissa discover that X happened?,12,F,Lisa,Janet,NonProj,0.58,6409,7
23,25,know,10,X happened,F,Zoe is a math major,factH,Does Tim know that X happened?,10,M,Linda,Eric,NonProj,0.91,18469,7
24,26,admit,1,X happened,F,Mary is a middle school student,factL,Did Patrick admit that X happened?,1,M,Helen,Scott,C,0.99,11059,7
25,27,demonstrate,14,X happened,F,Jayden doesn't have a driver's license,factL,Did Stephanie demonstrate that X happened?,14,F,Jessica,Kathleen,C,0.78,9615,7
0,2,control,control1,X happened,M,Zack is a member of the golf club,NA,"Is Zack coming to the meeting tomorrow, even though X happened last night?",control1,NA,David,NA,control,0.94,19476,8
1,3,prove,16,X happened,F,Josh is a 75-year old man,factL,Did Sharon prove that X happened?,16,F,Michelle,Catherine,C,0.04,10174,8
2,4,acknowledge,17,X happened,F,Owen lives in Chicago,factH,Did Cynthia acknowledge that X happened?,17,F,Jessica,Shirley,C,0.95,6450,8
3,5,establish,18,X happened,F,Julian is German,factL,Did Kathleen establish that X happened?,18,F,Ashley,Brenda,NonProj,0.9,5752,8
4,6,think,3,X happened,M,Emma is in first grade,factL,Does Justin think that X happened?,3,M,Richard,Patrick,NonProj,0.07,8474,8
5,7,control,control5,X happened,M,Trish sent Madison a card,NA,"Did Madison have a baby, despite the fact that X happened?",control5,NA,Richard,NA,control,0.0,9229,8
6,8,control,control6,X happened,F,Hendrick just bought a car,NA,"Did Hendrick's car get more expensive, now that X happened?",control6,NA,Ashley,NA,control,0.0,6602,8
7,9,say,8,X happened,M,Emily never has any money,factL,Did Brian say that X happened?,8,M,Steven,Jerry,C,0.0,9885,8
